,Group,FA,FA StdDev,MD,MD StdDev,RD,RD StdDev,AD,AD StdDev
000302,J,0.6039544343948364,0.2484065741300583,0.0008805900579318404,0.00040072944830171764,0.0005278885364532471,0.0004444143851287663,0.0015859928680583835,0.0004355529381427914
000306,J,0.6163593530654907,0.2263764590024948,0.0009706973214633763,0.00044152181362733245,0.0005842014215886593,0.00048807126586325467,0.0017436888301745057,0.0004543181858025491
000307,J,0.5917587280273438,0.2627266049385071,0.0010788397630676627,0.00046455665142275393,0.0006485588382929564,0.0005545609164983034,0.0019394017290323973,0.00040863253525458276
000308,J,0.6361607313156128,0.22778715193271637,0.0009205606766045094,0.0004477541078813374,0.0005477993981912732,0.00048449105815961957,0.0016660832334309816,0.0004701803845819086
000314,J,0.6152703762054443,0.21342746913433075,0.0009553926065564156,0.0003862652229145169,0.0005852290196344256,0.0004339582519605756,0.0016957198968157172,0.000390603527193889
000323,J,0.6037906408309937,0.23926840722560883,0.0009235471370629966,0.00038094710907898843,0.0005626236670650542,0.00043983905925415456,0.0016453942516818643,0.0003850919601973146
000333,J,0.6899831891059875,0.20324653387069702,0.000963285390753299,0.0003108088276349008,0.0004928474081680179,0.00035809114342555404,0.0019041612977162004,0.00044127614819444716
000361,J,0.6162598729133606,0.23896753787994385,0.0009776415536180139,0.0005048285820521414,0.0006109757232479751,0.0005486496374942362,0.0017109736800193787,0.0005090654012747109
000365,J,0.6191444993019104,0.21807266771793365,0.0008693640120327473,0.0003287476720288396,0.0005046580918133259,0.00038184973527677357,0.0015987757360562682,0.00036604100023396313
000369,J,0.6260162591934204,0.22655722498893738,0.0009245485416613519,0.0003552830603439361,0.0005372019368223846,0.00041859273915179074,0.0016992418095469475,0.0003546584048308432
000371,J,0.6506260633468628,0.24436716735363007,0.0009650042629800737,0.00038582051638513803,0.0005437356303445995,0.00046110828407108784,0.0018075417028740048,0.00038794041029177606
000380,J,0.609454870223999,0.2441996932029724,0.0008725939551368356,0.00032386460225097835,0.000509949866682291,0.0003756911028176546,0.0015978820156306028,0.00041460481588728726
000381,J,0.6251780986785889,0.22920732200145721,0.0008711542468518019,0.00030843453714624047,0.000503573683090508,0.0003675031184684485,0.0016063152579590678,0.0003236717311665416
000383,J,0.6367312073707581,0.23651573061943054,0.0008656653226353228,0.00031091406708583236,0.0004944249521940947,0.0003806607273872942,0.00160814612172544,0.0003337312664370984
000385,J,0.5869037508964539,0.23741485178470612,0.0009968391386792064,0.0004057202022522688,0.0006306206341832876,0.00047104075201787055,0.0017292762640863657,0.0003774666984099895
000387,J,0.6623409390449524,0.24456031620502472,0.0008821049705147743,0.0003363581490702927,0.00048361392691731453,0.00040025662747211754,0.001679087057709694,0.0003719530359376222
000394,J,0.5490033030509949,0.21036873757839203,0.0011593038216233253,0.0004327667411416769,0.0007837705779820681,0.0004732237139251083,0.001910370192490518,0.0004340606683399528
000411,J,0.5977927446365356,0.23943859338760376,0.0009821506682783365,0.0004892627475783229,0.0006133161950856447,0.0005422181566245854,0.0017198193818330765,0.0004754278634209186
000425,J,0.5573297142982483,0.2517700791358948,0.0011998580303043127,0.0005184001638554037,0.0007954747416079044,0.0005964362062513828,0.0020086250733584166,0.0004947989364154637
000428,J,0.5922679901123047,0.2597803473472595,0.0009859399870038033,0.0004331297241151333,0.0006121704936958849,0.0005029398016631603,0.0017334794392809272,0.000420651922468096
000430,J,0.6099541187286377,0.23852349817752838,0.0009488344076089561,0.00046803944860585034,0.0005830480367876589,0.000512773054651916,0.0016804073238745332,0.00048307949327863753
000436,J,0.592357337474823,0.22036363184452057,0.0009108714875765145,0.00031781921279616654,0.0005628552753478289,0.00036880176048725843,0.0016069038538262248,0.0003574381989892572
000443,J,0.621990978717804,0.23668640851974487,0.0009440967114642262,0.00040122854989022017,0.0005465851281769574,0.00045439295354299247,0.0017391196452081203,0.00042653834680095315
000467,J,0.5905753374099731,0.2326485812664032,0.0009560480248183012,0.0003781614650506526,0.000586975016631186,0.0004289857461117208,0.0016941941576078534,0.00042664591455832124
